Símbolo,Nome,Número_Atômico,Linha,Coluna,Estado_Físico
Pr,Praseodímio,59,6,6,Sólido
Nd,Neodímio,60,6,7,Sólido
Pm,Promécio,61,6,8,Sólido
Sm,Samário,62,6,9,Sólido
Eu,Európio,63,6,10,Sólido
Gd,Gadolínio,64,6,11,Sólido
Tb,Térbio,65,6,12,Sólido
Dy,Disprósio,66,6,13,Sólido
Ho,Hólmio,67,6,14,Sólido
Er,Érbio,68,6,15,Sólido
Tm,Túlio,69,6,16,Sólido
Yb,Itérbio,70,6,17,Sólido
Lu,Lutécio,71,6,1,Sólido
Hf,Háfnio,72,6,2,Sólido
Ta,Tântalo,73,6,3,Sólido
W,Tungstênio,74,6,4,Sólido
Re,Rênio,75,6,5,Sólido
Os,Ósmio,76,6,6,Sólido
Ir,Irídio,77,6,7,Sólido
Pt,Platina,78,6,8,Sólido
Au,Ouro,79,6,9,Sólido
